schema_version	source_repository	source_commit	source_path	source_sha256	git_blob_oid	git_authors	source_copyright	source_license	source_notice	third_party	generated	disposition	target_path	license_verdict	license_evidence
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/harness/drivers/react_loop.py	23f15968d5c88236ba464fef9c8faa291ee438a61622181c6f0752ce9a60cbcf	ef0ab300c4628969c65be00c05b64533bf21cd3f	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/runtime/drivers/react_loop.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/harness/drivers/workflow.py	5a24e070108ef26b555c038d6e0d6df437c28907eed02bfd7c53513377ea406e	93ad1e63da5f24b5ab4cd80e869b9629abfbcca8	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/runtime/drivers/workflow.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/execution/provider_invocations.py	a011362a2bebe83aad789adf72dd9cec03f89d9be547dfc6b4d711c0484bf882	e34638eba9d63061c6044fd3a10539ae55c9084d	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/provider_invocations.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/execution/dispatch.py	8db160f54ab9644829d8503d892dcd5bf6995bf3462dc6bb161857da6dfee4fe	09358f389e5ede57f6d146b1bb259319a71e77c5	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/dispatch.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/execution/fences.py	f94c786ff52e262baaf5a7d25a5f389d6a7ee539dbd71ebab6f0be39e7f5d3b2	5a7eeb5ab358c7b3efa6bd5423ea830cfb59e10c	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/fences.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/harness/projector.py	78d089e6508f9c8a25a1f77fa620260a64ad814b8045c613aee9a782787c3ce1	8db1ef6d1681c7c3a84d0b3a19f4150a46c24c26	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/delivery.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/runner.py	11b4230b96166f07d849f487d9243dccc6085fa2b480e260555d7d107e27ba51	60170eb686f8dae6c1d771712a1d56c0b794e3ce	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/runner.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/native.py	aa910ade353aba7629bb7f4284c6090f3ceef138978501f8b8ae875509b0f5b4	90c45e77b0692227828936186942f66650e75839	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	explicit-spdx-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/native.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/agent/agent_loop.py	eee7770cf5ebcd97b64a896d932cfeed7b8c0a3ce94572305b6f1f95ca0c8dea	b1eeb4dcac9ccf4e9770900208644029cecd03df	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	explicit-spdx-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/runtime/drivers/react_loop.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/store/execution_uow.py	f418a1400c9e082c7f26b71c66d4bb2f1e8c74458d26a66e31a3f97538a2460a	b8d93286ed4d91c3d3f554c7e8134235e35c691b	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/sqlite/uow.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/execution/uow_ports.py	94f830c3d937bd883a77960bd08436807a0e377eb460dd5850ccbfbd07c0e6ae	664ae33d1672a0b6c73fce7b47cc710f7069a202	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/execution/uow.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/execution_ports.py	ffb1304cc7aecdfa934594f3e96d4965ddb8cd47947c9f954b0a43631461b2f8	28d3baa498aae3940bd98a8580d717fd89522214	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/execution_ports.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/definition.py	565e59b4b1fd1aa32512ee476fc9c3dc40a106f4f45d2c9d6633a564acc78cf2	e843ceb9f0994ef2c5014010555c0860eb4fa9b5	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	explicit-spdx-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/definition.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/contracts.py	332e88cbfebe40cf038588ef8fd4f67386c92ef62ac149aab62e02b0ad568244	1aae095b9acce5c80f517b401e18ebe9bb965a57	Denny;DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	explicit-spdx-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/contracts.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/recovery.py	6e0b6675ae781374bcc744e31d898ff1ad2871f60e9746f6e2d0c014617551de	a65ec6a847a105e79bb3160194753301025cf4b1	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/recovery.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/replay.py	0e117cdf617853ce9f73bef7bbfefd1234a9e048fcf942988eea1f150f3a5e10	35b127d79a4055b7a445421f90d8a453158ca136	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	repository-busl-policy-no-file-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/replay.py	approved	source-request-ledger:owner-approval-2026-08-13
1	simple_harness	122ec55989f8a77e023aeb44ba1b4dae1b694269	backend/deskpet/workflows/control.py	633930dedb4eba8ebfb51f38d9ce5374883ef08f45bf5be756187627eae68d4f	65636027ab3bb71532631cb3a303b74a0fe16a41	DennyWanye	2026 DennyWanye (owner-confirmed)	BUSL-1.1	explicit-spdx-header	none-identified	no-known-generated-content	rewrite	src/simple_harness/workflow/control.py	approved	source-request-ledger:owner-approval-2026-08-13
